# time tx ty tz qx qy qz qw
323.000000 10.778361 35.441884 31.359384 0.195495 0.885289 0.311505 -0.284623
324.000000 10.354474 34.568375 31.120008 0.192753 0.885016 0.312015 -0.286776
325.000000 10.896257 35.351526 31.425205 0.188893 0.890972 0.288239 -0.295647
326.000000 10.370940 34.535985 31.182439 0.189357 0.893156 0.278494 -0.298088
327.000000 10.538503 35.511017 31.036715 0.184652 0.897064 0.266204 -0.300526
328.000000 10.776747 36.330478 31.557986 0.180017 0.904814 0.238247 -0.303553
329.000000 10.376954 35.425815 31.705467 0.178394 0.907819 0.224252 -0.306188
330.000000 10.850971 36.230380 32.063215 0.169889 0.914696 0.191920 -0.312468
331.000000 11.077614 37.204152 32.083263 0.164887 0.917826 0.174639 -0.316085
332.000000 11.002400 37.981282 31.458434 0.158200 0.921107 0.155430 -0.319963
333.000000 10.855016 37.012572 31.658130 0.151359 0.923707 0.139888 -0.322936
334.000000 11.497376 37.714660 31.965451 0.141974 0.926540 0.116992 -0.328147
335.000000 12.213014 37.950668 32.622841 0.134436 0.927401 0.100360 -0.334340
336.000000 11.690048 37.188319 32.241619 0.130704 0.927481 0.081125 -0.340755
337.000000 12.006120 36.533398 32.928042 0.123043 0.928215 0.066000 -0.344849
